HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12
40367027,40366906,40364888,8.27,13.3,12.8,23.84,23.8,1,0.000,1,4,10,4121318040
40367028,40367029,40363583,1.61,23.6,6.9,13.75,13.8,1,0.000,1,2,10,4120472000
40367029,40366390,40363583,3.63,20.1,66.4,6.96,825.2,1,0.000,4,1,10,4120472000
40367030,0,40367030,3.06,0.0,115.9,8.94,3305.3,1,0.000,4,1,10,4120473320
40367031,0,40367031,2.34,0.0,65.9,13.09,927.1,1,0.000,4,3,10,4120473330
40367123,40365822,40340055,14.73,115.2,22.7,42.40,74.9,1,0.033,2,3,8,4121317690
40367124,40367023,40276558,2.65,503.8,7.4,18.06,18.1,1,0.008,1,4,9,4120464310
40367125,40367639,40276558,4.64,517.5,14.4,15.56,15.6,1,0.012,1,4,8,4120476340
40367126,40367639,40276558,6.53,517.5,18.7,14.24,57.8,1,0.041,2,3,8,4120476340
40367127,40365477,40361361,8.58,21.0,13.4,31.81,31.8,1,0.006,1,2,9,4120467380
40367128,40366788,40363583,4.00,18.5,47.5,9.44,278.5,1,0.000,3,2,10,4120473300
40367129,0,40367129,2.11,0.0,54.7,3.81,722.0,1,0.000,3,1,10,4120057870
40367130,40367129,40367129,2.11,2.4,52.6,3.81,513.2,1,0.000,3,1,10,4120473480
40367131,40365712,40367030,8.18,33.3,44.2,17.22,290.4,1,0.000,3,2,10,4120472010
40367132,40365487,40367030,9.83,27.5,15.9,32.97,33.0,1,0.000,1,2,10,4120471290
40367133,40366584,40367031,4.29,2.8,8.9,20.21,20.2,1,0.000,1,4,10,4120473330
40367134,40365846,40360317,6.77,39.0,24.7,12.26,62.3,1,0.000,2,2,10,4120470890
40367135,40366796,40365605,1.87,25.7,16.6,4.14,41.5,1,0.000,2,3,10,4120472350
40367236,40365355,40340055,10.93,118.0,14.7,48.37,48.4,1,0.018,1,3,8,4120470670
40367237,40366778,40340055,2.22,120.1,14.4,3.48,75.6,1,0.034,2,3,8,4121317690
40367238,40366378,40276558,6.21,546.9,9.9,31.98,32.0,1,0.015,1,3,8,4120472580
40367239,40365475,40276558,8.01,474.3,16.2,20.22,20.2,1,0.007,1,4,9,4120467640
40367240,40366781,40276558,5.21,458.6,10.5,16.57,16.6,1,0.006,1,3,9,4121318210
40367241,40366784,40365944,2.10,17.2,30.3,5.80,165.0,1,0.126,2,2,7,4120472080
40367242,40366574,40366574,7.11,2.0,15.3,25.52,25.5,1,0.008,1,2,9,4120065950
40367243,40366574,40366574,4.70,2.1,23.0,9.61,90.2,1,0.057,2,1,8,4120065950
40367244,40365835,40291987,7.94,420.3,12.2,27.17,27.2,1,0.005,1,3,9,4120470550
40367245,40366908,40364888,4.01,60.8,11.8,21.05,21.0,1,0.001,1,2,9,4120471700
40367246,40367370,40363583,10.48,39.9,46.6,28.66,206.6,1,0.000,2,1,10,4120473810
40367247,40366788,40363583,2.46,18.4,26.9,3.81,162.1,1,0.000,2,3,10,4120473290
40367248,40367777,40360317,5.60,63.1,12.3,21.04,21.0,1,0.000,1,5,10,4121318600
40367249,40367777,40360317,7.09,63.1,12.9,24.51,24.5,1,0.000,1,4,10,4121318600
40367250,40366911,40360317,1.51,37.2,127.7,2.82,2111.6,1,0.000,4,2,10,4121318260
40367251,40366588,40360317,3.15,33.9,21.7,3.98,71.3,1,0.000,2,3,10,4120468920
40367252,40366393,40360317,11.19,41.7,46.3,18.72,253.5,1,0.000,3,3,10,4121317950
40367359,40366567,40276558,4.98,446.0,13.1,20.05,20.1,1,0.007,1,3,9,4120467980
40367360,40366381,40276558,6.45,440.1,40.7,12.09,155.8,1,0.055,2,4,8,4120472690
40367361,40366382,40276558,8.24,445.2,19.8,22.20,59.2,1,0.022,2,3,8,4120472160
40367362,40367363,40361949,1.53,63.7,11.6,3.81,54.2,1,0.010,2,2,8,4120473130
40367363,40367026,40361949,2.83,60.7,14.6,8.28,75.2,1,0.015,2,2,8,4120473130
40367364,40366386,40361949,4.54,51.2,38.9,21.04,266.4,1,0.063,3,2,8,4120472810
40367365,40366573,40365944,3.72,19.7,10.2,21.71,21.7,1,0.003,1,3,9,4120472310
40367366,40370093,40370094,3.56,35.8,11.7,26.33,26.3,1,0.001,1,2,9,4121319830
40367367,40370093,40370094,3.12,35.6,9.1,18.72,18.7,1,0.001,1,3,9,4121319830
40367368,40366482,40364888,4.07,55.3,28.3,6.30,111.6,1,0.004,2,2,9,4120471780
40367369,40367368,40364888,1.43,59.3,24.3,1.82,63.7,1,0.003,2,2,9,4120471780
40367370,40367645,40363583,0.58,39.3,47.2,1.49,267.9,1,0.000,3,1,10,4120473810
40367371,40367128,40363583,1.76,22.3,13.2,2.65,43.6,1,0.000,2,3,10,4120473300
40367372,40367371,40363583,3.14,24.1,10.2,18.56,18.6,1,0.000,1,4,10,4120473300
40367373,0,40367373,1.63,0.0,103.4,3.65,2019.9,1,0.000,4,2,10,4120473670
40367374,40367134,40360317,1.34,45.8,9.8,14.75,14.8,1,0.000,1,3,10,4120470890
40367375,40367252,40360317,0.58,52.9,35.1,0.50,216.1,1,0.000,3,3,10,4121317950
40367499,40367632,40341441,3.15,532.8,8.6,14.25,14.3,1,0.004,1,5,9,4120474210
40367500,40367501,40340055,1.24,129.0,6.2,12.92,12.9,1,0.005,1,4,9,4121318530
40367501,40367502,40340055,4.75,124.3,15.1,12.76,65.8,1,0.027,2,3,8,4121318530
40367502,40366778,40340055,4.34,120.1,26.6,13.75,192.7,1,0.084,2,2,8,4121317690
40367503,40367123,40340055,3.12,129.7,6.9,15.08,15.1,1,0.007,1,4,9,4121317690
40367504,40367022,40276558,5.13,549.7,8.8,22.20,22.2,1,0.010,1,4,8,4120472770
40367505,40366137,40276558,7.37,480.2,21.3,18.22,74.1,1,0.024,2,4,8,4120469780
40367506,40361942,40276558,25.52,456.1,36.9,38.72,89.0,1,0.031,2,4,8,4120461700
40367507,40367363,40361949,1.24,63.5,8.0,12.76,12.8,1,0.002,1,3,9,4120473130
40367508,40366478,40366478,8.15,3.3,14.6,32.65,32.6,1,0.008,1,3,9,4120065950
40367509,40368637,40364888,0.54,26.2,7.6,10.93,10.9,1,0.001,1,5,9,4121319060
40367510,40365837,40363583,8.93,17.3,14.5,33.47,33.5,1,0.000,1,2,10,4120472000
